workerIdAnon,stimID,stimulus,pot,stimFileName,time_to_load,time_to_serve,trial_number,respTimer,Annoyed,Apprehensive,Contemptuous,Content,Devastated,Disappointed,Disgusted,Embarrassed,Excited,Furious,Grateful,Guilty,Hopeful,Impressed,Jealous,Joyful,Proud,Relieved,Surprised,Terrified
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,282.1,282_1,2843.5,282_1t.mp4,1.141,0.001,2,46.401,0,35,0,31,0,0,0,0,48,0,16,27,10,17,3,45,14,48,44,16
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,239.1,239_1,94819.0,239_1t.mp4,1.973,0.0,3,47.281,0,25,0,28,0,0,0,8,48,0,17,22,13,27,0,48,48,35,39,0
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,270.2,270_2,5322.5,270_2t.mp4,1.45,0.001,4,66.841,0,48,6,9,29,28,2,26,23,0,5,15,9,0,9,14,0,4,31,47
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,250.1,250_1,30304.5,250_1t.mp4,1.692,0.0,5,45.858,0,29,0,39,0,0,0,0,48,0,48,11,23,3,0,48,35,48,46,21
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,241.2,241_2,80954.5,241_2t.mp4,1.835,0.0,6,42.965,0,16,0,22,0,0,0,4,48,0,9,0,11,0,0,48,48,0,39,0
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,269.2,269_2,2318.0,269_2t.mp4,1.907,0.0,7,65.506,48,25,48,0,37,48,40,12,0,38,0,0,0,0,30,0,0,0,18,12
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,249.1,249_1,1562.5,249_1t.mp4,1.334,0.0,8,45.062,0,17,0,30,0,0,0,0,48,0,10,0,22,0,0,41,44,48,29,12
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,266.2,266_2,6559.0,266_2t.mp4,1.502,0.0,9,44.52,0,0,0,8,5,18,0,28,20,0,0,9,11,10,0,15,0,9,48,10
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,260.1,260_1,1598.5,260_1t.mp4,1.529,0.0,10,47.932,0,22,0,26,0,6,0,14,39,0,15,20,19,0,3,42,27,48,24,19
2107766e9af68d7ed48230a4bd160c984cd281ea437752513d6c7c50,279.1,279_1,269.5,279_1t.mp4,1.606,0.001,11,39.427,0,20,0,36,0,0,0,0,48,0,38,0,33,27,0,48,36,48,43,7
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,284.2,284_2,1116.5,284_2t.mp4,1.058,1.062,0,66.054,0,0,0,24,0,0,0,0,33,0,31,0,24,6,0,37,24,43,34,0
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,245.2,245_2,5958.0,245_2t.mp4,1.007,0.002,1,196.982,0,0,0,28,0,0,0,0,37,0,26,0,14,11,0,45,35,43,34,0
a0d9c8204f09a665fa8cf035acf4ce4bd9e01eeeadb4e0ac4873d30d,241.2,241_2,80954.5,241_2t.mp4,1.004,0.001,2,82.383,0,0,0,21,0,0,0,0,28,0,22,0,0,0,0,39,14,30,18,0
